PLAYER_ID,SEASON_ID,LOC_X,LOC_Y,SHOT_MADE,SHOT_ATTEMPT
101108,2005-06,-24,5,0,1
101108,2005-06,-24,6,0,2
101108,2005-06,-23,5,0,6
101108,2005-06,-23,6,1,1
101108,2005-06,-23,9,0,1
101108,2005-06,-23,11,1,2
101108,2005-06,-23,12,0,1
101108,2005-06,-23,17,1,1
101108,2005-06,-22,13,1,1
101108,2005-06,-22,14,0,1
101108,2005-06,-22,21,0,1
101108,2005-06,-21,5,1,1
101108,2005-06,-21,18,0,2
101108,2005-06,-21,21,0,1
101108,2005-06,-20,5,0,1
101108,2005-06,-20,6,1,1
101108,2005-06,-20,10,0,1
101108,2005-06,-20,14,1,1
101108,2005-06,-20,20,0,1
101108,2005-06,-19,4,0,1
101108,2005-06,-19,20,1,2
101108,2005-06,-19,21,0,2
101108,2005-06,-18,7,1,1
101108,2005-06,-18,21,1,2
101108,2005-06,-18,22,0,2
101108,2005-06,-18,23,0,1
101108,2005-06,-17,5,2,3
101108,2005-06,-17,7,1,1
101108,2005-06,-17,9,0,1
101108,2005-06,-17,13,0,1
101108,2005-06,-17,17,0,1
101108,2005-06,-17,19,1,2
101108,2005-06,-17,21,0,2
101108,2005-06,-17,22,1,2
101108,2005-06,-17,23,2,3
101108,2005-06,-17,24,0,1
101108,2005-06,-17,25,1,1
101108,2005-06,-17,26,1,1
101108,2005-06,-16,4,0,1
101108,2005-06,-16,5,1,4
101108,2005-06,-16,7,0,2
101108,2005-06,-16,9,1,1
101108,2005-06,-16,12,1,1
101108,2005-06,-16,23,1,1
101108,2005-06,-16,25,0,1
101108,2005-06,-15,5,1,1
101108,2005-06,-15,11,0,1
101108,2005-06,-15,12,1,1
101108,2005-06,-15,13,1,2
101108,2005-06,-15,15,0,1
101108,2005-06,-15,18,1,1
101108,2005-06,-15,23,0,1
101108,2005-06,-15,24,1,4
101108,2005-06,-15,26,0,1
101108,2005-06,-14,5,0,1
101108,2005-06,-14,7,0,1
101108,2005-06,-14,9,0,1
101108,2005-06,-14,11,0,2
101108,2005-06,-14,16,0,1
101108,2005-06,-14,19,1,1
101108,2005-06,-14,21,1,1
101108,2005-06,-14,23,0,1
101108,2005-06,-14,24,1,1
101108,2005-06,-14,25,0,1
101108,2005-06,-14,27,1,2
101108,2005-06,-13,6,1,1
101108,2005-06,-13,11,0,1
101108,2005-06,-13,13,0,1
101108,2005-06,-13,14,0,1
101108,2005-06,-13,15,0,1
101108,2005-06,-13,19,0,2
101108,2005-06,-13,21,1,1
101108,2005-06,-13,22,0,1
101108,2005-06,-13,24,1,1
101108,2005-06,-13,26,0,2
101108,2005-06,-13,27,0,1
101108,2005-06,-13,28,0,1
101108,2005-06,-12,14,0,1
101108,2005-06,-12,16,0,1
101108,2005-06,-12,17,1,1
101108,2005-06,-12,18,2,4
101108,2005-06,-12,19,1,1
101108,2005-06,-12,20,0,1
101108,2005-06,-12,22,0,2
101108,2005-06,-12,26,0,1
101108,2005-06,-12,27,0,1
101108,2005-06,-11,16,0,2
101108,2005-06,-11,17,0,1
101108,2005-06,-11,18,1,1
101108,2005-06,-11,21,1,1
101108,2005-06,-11,22,1,3
101108,2005-06,-11,23,0,1
101108,2005-06,-11,24,1,1
101108,2005-06,-11,26,1,1
101108,2005-06,-11,27,0,1
101108,2005-06,-11,28,2,2
101108,2005-06,-10,5,0,2
101108,2005-06,-10,10,0,1
101108,2005-06,-10,17,0,1
101108,2005-06,-10,18,0,1
101108,2005-06,-10,20,1,2
101108,2005-06,-10,28,0,1
101108,2005-06,-10,31,1,1
101108,2005-06,-10,44,0,1
101108,2005-06,-9,19,1,2
101108,2005-06,-9,22,0,1
101108,2005-06,-9,28,0,2
101108,2005-06,-9,29,0,1
101108,2005-06,-8,18,1,2
101108,2005-06,-8,21,2,2
101108,2005-06,-8,22,1,2
101108,2005-06,-8,27,1,2
101108,2005-06,-8,28,1,3
101108,2005-06,-7,10,1,1
101108,2005-06,-7,11,1,1
101108,2005-06,-7,15,1,1
101108,2005-06,-7,17,2,2
101108,2005-06,-7,19,1,2
101108,2005-06,-7,22,0,1
101108,2005-06,-7,23,1,1
101108,2005-06,-7,26,1,1
101108,2005-06,-6,5,1,1
101108,2005-06,-6,7,1,1
101108,2005-06,-6,13,1,2
101108,2005-06,-6,20,1,1
101108,2005-06,-6,21,0,1
101108,2005-06,-6,23,1,2
101108,2005-06,-6,26,1,1
101108,2005-06,-5,7,0,1
101108,2005-06,-5,8,1,1
101108,2005-06,-5,9,0,1
101108,2005-06,-5,11,2,2
101108,2005-06,-5,15,1,1
101108,2005-06,-5,20,1,1
101108,2005-06,-5,21,0,1
101108,2005-06,-5,25,1,1
101108,2005-06,-5,28,0,1
101108,2005-06,-5,29,1,2
101108,2005-06,-4,12,1,1
101108,2005-06,-4,14,0,2
101108,2005-06,-4,19,1,3
101108,2005-06,-4,20,1,1
101108,2005-06,-4,23,0,1
101108,2005-06,-4,24,1,1
101108,2005-06,-4,28,1,3
101108,2005-06,-3,7,1,3
101108,2005-06,-3,8,1,2
101108,2005-06,-3,9,1,1
101108,2005-06,-3,10,1,2
101108,2005-06,-3,11,1,3
101108,2005-06,-3,12,1,1
101108,2005-06,-3,23,0,1
101108,2005-06,-3,25,0,1
101108,2005-06,-3,26,1,1
101108,2005-06,-2,6,1,2
101108,2005-06,-2,7,0,1
101108,2005-06,-2,8,1,3
101108,2005-06,-2,9,0,1
101108,2005-06,-2,11,0,1
101108,2005-06,-2,12,0,1
101108,2005-06,-2,15,0,2
101108,2005-06,-2,18,0,1
101108,2005-06,-2,20,0,3
101108,2005-06,-2,21,0,1
101108,2005-06,-2,22,0,1
101108,2005-06,-2,23,1,1
101108,2005-06,-2,24,1,2
101108,2005-06,-2,26,1,1
101108,2005-06,-2,29,0,2
101108,2005-06,-1,6,1,1
101108,2005-06,-1,7,1,1
101108,2005-06,-1,8,2,4
101108,2005-06,-1,9,3,4
101108,2005-06,-1,10,0,3
101108,2005-06,-1,11,0,1
101108,2005-06,-1,12,2,2
101108,2005-06,-1,13,0,1
101108,2005-06,-1,19,1,2
101108,2005-06,-1,21,1,2
101108,2005-06,-1,23,3,3
101108,2005-06,-1,29,2,6
101108,2005-06,-1,31,0,1
101108,2005-06,-1,32,0,1
101108,2005-06,0,4,1,1
101108,2005-06,0,5,147,287
101108,2005-06,0,6,2,4
101108,2005-06,0,7,2,5
101108,2005-06,0,8,1,3
101108,2005-06,0,9,3,12
101108,2005-06,0,10,5,11
101108,2005-06,0,11,4,7
101108,2005-06,0,12,0,2
101108,2005-06,0,13,2,3
101108,2005-06,0,14,1,1
101108,2005-06,0,15,0,1
101108,2005-06,0,16,1,1
101108,2005-06,0,19,0,1
101108,2005-06,0,20,3,5
101108,2005-06,0,21,0,1
101108,2005-06,0,22,1,2
101108,2005-06,0,23,2,4
101108,2005-06,0,24,4,9
101108,2005-06,0,25,1,2
101108,2005-06,0,26,1,2
101108,2005-06,0,27,1,1
101108,2005-06,0,29,3,11
101108,2005-06,0,30,0,3
101108,2005-06,0,31,0,1
101108,2005-06,0,32,0,1
101108,2005-06,1,5,5,6
101108,2005-06,1,6,4,6
101108,2005-06,1,7,1,2
101108,2005-06,1,8,0,1
101108,2005-06,1,9,1,1
101108,2005-06,1,10,2,4
101108,2005-06,1,11,1,2
101108,2005-06,1,12,1,1
101108,2005-06,1,18,1,1
101108,2005-06,1,20,1,1
101108,2005-06,1,22,2,2
101108,2005-06,1,23,0,1
101108,2005-06,1,24,0,1
101108,2005-06,1,26,1,1
101108,2005-06,1,27,1,1
101108,2005-06,1,28,1,1
101108,2005-06,1,29,0,1
101108,2005-06,1,30,1,1
101108,2005-06,1,43,0,1
101108,2005-06,2,5,3,4
101108,2005-06,2,6,2,3
101108,2005-06,2,7,2,4
101108,2005-06,2,8,0,1
101108,2005-06,2,9,0,1
101108,2005-06,2,10,1,1
101108,2005-06,2,11,1,1
101108,2005-06,2,12,1,3
101108,2005-06,2,13,1,1
101108,2005-06,2,17,0,1
101108,2005-06,2,19,0,1
101108,2005-06,2,20,1,1
101108,2005-06,2,22,0,1
101108,2005-06,2,23,1,1
101108,2005-06,2,24,0,2
101108,2005-06,2,28,0,1
101108,2005-06,2,29,0,2
101108,2005-06,2,30,0,1
101108,2005-06,2,32,0,1
101108,2005-06,2,44,0,1
101108,2005-06,3,5,0,2
101108,2005-06,3,6,0,3
101108,2005-06,3,7,1,2
101108,2005-06,3,8,0,1
101108,2005-06,3,9,1,2
101108,2005-06,3,10,0,2
101108,2005-06,3,14,0,1
101108,2005-06,3,17,1,1
101108,2005-06,3,21,0,1
101108,2005-06,3,22,0,1
101108,2005-06,3,23,0,2
101108,2005-06,3,24,0,1
101108,2005-06,3,25,0,1
101108,2005-06,3,32,1,1
101108,2005-06,4,6,1,1
101108,2005-06,4,7,0,1
101108,2005-06,4,8,1,2
101108,2005-06,4,10,0,2
101108,2005-06,4,11,1,1
101108,2005-06,4,15,0,2
101108,2005-06,4,16,1,1
101108,2005-06,4,22,1,1
101108,2005-06,4,23,1,1
101108,2005-06,4,25,1,1
101108,2005-06,4,28,1,1
101108,2005-06,4,29,1,2
101108,2005-06,4,30,2,2
101108,2005-06,5,7,0,1
101108,2005-06,5,8,1,3
101108,2005-06,5,9,0,1
101108,2005-06,5,10,0,1
101108,2005-06,5,11,1,1
101108,2005-06,5,12,1,2
101108,2005-06,5,13,0,1
101108,2005-06,5,15,0,1
101108,2005-06,5,19,0,1
101108,2005-06,5,21,1,1
101108,2005-06,5,23,0,1
101108,2005-06,5,30,0,1
101108,2005-06,6,10,2,3
101108,2005-06,6,20,0,2
101108,2005-06,6,21,0,2
101108,2005-06,6,22,2,2
101108,2005-06,6,23,1,1
101108,2005-06,7,7,0,1
101108,2005-06,7,8,2,2
101108,2005-06,7,9,1,2
101108,2005-06,7,12,0,1
101108,2005-06,7,13,0,1
101108,2005-06,7,21,1,2
101108,2005-06,7,22,2,2
101108,2005-06,7,27,0,2
101108,2005-06,7,28,1,2
101108,2005-06,7,29,0,2
101108,2005-06,8,7,0,1
101108,2005-06,8,8,0,2
101108,2005-06,8,10,1,1
101108,2005-06,8,14,1,1
101108,2005-06,8,16,1,1
101108,2005-06,8,17,1,1
101108,2005-06,8,19,0,1
101108,2005-06,8,20,2,3
101108,2005-06,8,21,0,1
101108,2005-06,8,22,1,1
101108,2005-06,8,27,1,1
101108,2005-06,8,28,0,1
101108,2005-06,9,6,0,1
101108,2005-06,9,7,1,1
101108,2005-06,9,11,0,1
101108,2005-06,9,17,0,1
101108,2005-06,9,18,1,1
101108,2005-06,9,19,2,2
101108,2005-06,9,21,0,2
101108,2005-06,9,24,0,1
101108,2005-06,9,27,0,1
101108,2005-06,9,28,0,1
101108,2005-06,9,29,0,1
101108,2005-06,10,3,0,1
101108,2005-06,10,10,0,1
101108,2005-06,10,13,0,1
101108,2005-06,10,16,0,2
101108,2005-06,10,17,0,1
101108,2005-06,10,18,1,1
101108,2005-06,10,19,0,1
101108,2005-06,10,21,0,1
101108,2005-06,10,24,0,1
101108,2005-06,10,26,0,1
101108,2005-06,10,27,1,1
101108,2005-06,10,29,1,1
101108,2005-06,11,7,0,1
101108,2005-06,11,11,0,1
101108,2005-06,11,14,0,1
101108,2005-06,11,15,1,1
101108,2005-06,11,16,0,1
101108,2005-06,11,17,0,1
101108,2005-06,11,18,0,1
101108,2005-06,11,19,0,2
101108,2005-06,11,20,2,2
101108,2005-06,11,21,0,1
101108,2005-06,11,22,2,3
101108,2005-06,11,23,1,1
101108,2005-06,11,26,0,1
101108,2005-06,12,14,0,1
101108,2005-06,12,15,0,2
101108,2005-06,12,18,1,2
101108,2005-06,12,20,0,1
101108,2005-06,12,26,0,1
101108,2005-06,13,13,0,3
101108,2005-06,13,14,3,4
101108,2005-06,13,16,1,1
101108,2005-06,13,17,0,1
101108,2005-06,13,18,0,1
101108,2005-06,13,19,0,1
101108,2005-06,13,20,1,2
101108,2005-06,13,21,0,1
101108,2005-06,13,25,0,2
101108,2005-06,13,26,1,3
101108,2005-06,13,28,0,2
101108,2005-06,14,8,0,2
101108,2005-06,14,9,0,1
101108,2005-06,14,10,0,1
101108,2005-06,14,11,0,2
101108,2005-06,14,13,1,2
101108,2005-06,14,14,0,1
101108,2005-06,14,16,0,2
101108,2005-06,14,17,0,1
101108,2005-06,14,24,2,4
101108,2005-06,14,25,1,1
101108,2005-06,14,27,0,1
101108,2005-06,15,4,1,1
101108,2005-06,15,5,1,2
101108,2005-06,15,7,1,1
101108,2005-06,15,11,1,1
101108,2005-06,15,17,0,1
101108,2005-06,15,24,0,1
101108,2005-06,15,25,0,1
101108,2005-06,16,5,1,1
101108,2005-06,16,7,0,1
101108,2005-06,16,10,0,1
101108,2005-06,16,11,0,3
101108,2005-06,16,14,2,2
101108,2005-06,16,15,0,1
101108,2005-06,16,22,0,1
101108,2005-06,16,23,0,1
101108,2005-06,17,21,0,1
101108,2005-06,17,22,0,1
101108,2005-06,17,23,1,1
101108,2005-06,17,24,0,1
101108,2005-06,18,22,0,1
101108,2005-06,18,23,0,1
101108,2005-06,18,24,0,1
101108,2005-06,19,21,1,1
101108,2005-06,20,17,0,1
101108,2005-06,20,19,0,1
101108,2005-06,20,20,0,1
101108,2005-06,21,15,0,1
101108,2005-06,21,17,1,1
101108,2005-06,21,18,1,1
101108,2005-06,22,5,1,1
101108,2005-06,22,6,0,1
101108,2005-06,23,5,1,1
101108,2005-06,23,13,1,1
101108,2006-07,-23,7,0,1
101108,2006-07,-23,15,1,1
101108,2006-07,-22,4,0,1
101108,2006-07,-22,5,0,2
101108,2006-07,-22,6,1,1
101108,2006-07,-22,7,0,1
101108,2006-07,-22,20,0,1
101108,2006-07,-21,16,1,1
101108,2006-07,-20,20,1,1
101108,2006-07,-20,21,2,3
101108,2006-07,-19,21,1,1
101108,2006-07,-18,5,0,1
101108,2006-07,-18,6,0,1
101108,2006-07,-18,21,2,2
101108,2006-07,-18,22,0,1
101108,2006-07,-18,23,1,1
101108,2006-07,-18,24,1,1
101108,2006-07,-17,7,0,1
101108,2006-07,-17,17,1,1
101108,2006-07,-17,19,0,1
101108,2006-07,-17,27,0,1
