PLAYER_ID,SEASON_ID,LOC_X,LOC_Y,SHOT_MADE,SHOT_ATTEMPT
202330,2010-11,-23,5,0,1
202330,2010-11,-23,6,0,1
202330,2010-11,-23,7,0,1
202330,2010-11,-23,8,1,1
202330,2010-11,-22,2,1,1
202330,2010-11,-22,5,5,6
202330,2010-11,-22,6,1,2
202330,2010-11,-22,7,0,1
202330,2010-11,-22,10,0,1
202330,2010-11,-22,12,2,3
202330,2010-11,-22,14,0,1
202330,2010-11,-22,16,0,1
202330,2010-11,-21,5,1,2
202330,2010-11,-21,7,0,1
202330,2010-11,-21,15,0,1
202330,2010-11,-20,5,0,1
202330,2010-11,-20,6,1,2
202330,2010-11,-20,8,1,2
202330,2010-11,-20,10,0,1
202330,2010-11,-20,19,0,1
202330,2010-11,-19,4,1,1
202330,2010-11,-19,5,0,1
202330,2010-11,-19,6,0,2
202330,2010-11,-19,9,0,1
202330,2010-11,-19,11,1,1
202330,2010-11,-19,19,0,1
202330,2010-11,-18,20,1,1
202330,2010-11,-17,6,1,1
202330,2010-11,-16,5,1,1
202330,2010-11,-16,9,0,1
202330,2010-11,-16,10,0,1
202330,2010-11,-16,12,1,2
202330,2010-11,-16,15,0,1
202330,2010-11,-16,17,1,1
202330,2010-11,-15,5,0,1
202330,2010-11,-15,14,1,1
202330,2010-11,-15,17,1,1
202330,2010-11,-15,18,1,1
202330,2010-11,-15,23,1,1
202330,2010-11,-15,24,0,1
202330,2010-11,-15,25,1,2
202330,2010-11,-14,23,0,1
202330,2010-11,-14,24,1,1
202330,2010-11,-13,13,0,1
202330,2010-11,-13,14,1,1
202330,2010-11,-13,16,0,1
202330,2010-11,-13,19,1,2
202330,2010-11,-13,21,1,1
202330,2010-11,-13,27,1,1
202330,2010-11,-12,14,0,1
202330,2010-11,-12,20,0,1
202330,2010-11,-12,21,0,1
202330,2010-11,-12,23,1,1
202330,2010-11,-12,25,1,1
202330,2010-11,-12,27,1,1
202330,2010-11,-11,5,0,1
202330,2010-11,-11,18,1,1
202330,2010-11,-10,19,1,1
202330,2010-11,-10,21,1,2
202330,2010-11,-9,19,1,1
202330,2010-11,-9,21,0,1
202330,2010-11,-8,7,1,1
202330,2010-11,-8,23,0,1
202330,2010-11,-8,24,0,1
202330,2010-11,-7,21,0,1
202330,2010-11,-6,17,1,1
202330,2010-11,-5,5,0,1
202330,2010-11,-5,8,0,1
202330,2010-11,-5,11,0,1
202330,2010-11,-4,5,1,1
202330,2010-11,-4,10,0,1
202330,2010-11,-4,22,0,1
202330,2010-11,-3,6,0,1
202330,2010-11,-3,13,1,1
202330,2010-11,-2,5,0,3
202330,2010-11,-2,6,3,3
202330,2010-11,-2,7,0,1
202330,2010-11,-2,22,1,1
202330,2010-11,-2,27,0,1
202330,2010-11,-1,5,7,12
202330,2010-11,-1,6,4,5
202330,2010-11,-1,7,0,1
