PLAYER_ID,SEASON_ID,LOC_X,LOC_Y,SHOT_MADE,SHOT_ATTEMPT
2544,2003-04,-24,5,1,1
2544,2003-04,-24,6,0,1
2544,2003-04,-24,8,0,1
2544,2003-04,-23,2,1,1
2544,2003-04,-23,3,0,4
2544,2003-04,-23,4,1,3
2544,2003-04,-23,5,3,6
2544,2003-04,-23,6,1,1
2544,2003-04,-23,8,0,2
2544,2003-04,-23,9,0,1
2544,2003-04,-23,11,1,2
2544,2003-04,-23,12,0,1
2544,2003-04,-23,16,0,1
2544,2003-04,-22,5,1,5
2544,2003-04,-22,7,0,1
2544,2003-04,-22,9,1,1
2544,2003-04,-22,14,0,1
2544,2003-04,-22,15,5,5
2544,2003-04,-22,17,1,1
2544,2003-04,-22,18,0,3
2544,2003-04,-21,3,1,2
2544,2003-04,-21,6,0,1
2544,2003-04,-21,8,1,1
2544,2003-04,-21,9,1,1
2544,2003-04,-21,11,0,1
2544,2003-04,-21,13,1,1
2544,2003-04,-21,18,1,3
2544,2003-04,-21,19,1,1
2544,2003-04,-21,20,0,1
2544,2003-04,-20,4,1,2
2544,2003-04,-20,5,1,1
2544,2003-04,-20,6,0,1
2544,2003-04,-20,7,1,2
2544,2003-04,-20,9,1,1
2544,2003-04,-20,12,1,1
2544,2003-04,-20,18,1,3
2544,2003-04,-20,20,0,1
2544,2003-04,-20,21,0,1
2544,2003-04,-20,23,1,1
2544,2003-04,-20,26,1,1
2544,2003-04,-19,3,3,3
2544,2003-04,-19,5,0,2
2544,2003-04,-19,6,1,2
2544,2003-04,-19,9,1,1
2544,2003-04,-19,11,0,1
2544,2003-04,-19,13,0,1
2544,2003-04,-19,14,0,1
2544,2003-04,-19,16,1,2
2544,2003-04,-19,19,1,1
2544,2003-04,-19,20,0,1
2544,2003-04,-19,21,1,1
2544,2003-04,-19,22,1,1
2544,2003-04,-18,3,1,4
2544,2003-04,-18,4,0,2
2544,2003-04,-18,5,1,3
2544,2003-04,-18,6,2,2
2544,2003-04,-18,8,0,1
2544,2003-04,-18,13,1,1
2544,2003-04,-18,15,0,1
2544,2003-04,-18,18,0,1
2544,2003-04,-18,22,2,2
2544,2003-04,-17,3,1,2
2544,2003-04,-17,4,1,1
2544,2003-04,-17,5,0,2
2544,2003-04,-17,6,1,2
2544,2003-04,-17,7,1,1
2544,2003-04,-17,8,1,1
2544,2003-04,-17,14,0,1
2544,2003-04,-17,15,0,1
2544,2003-04,-17,16,0,1
2544,2003-04,-17,17,0,1
2544,2003-04,-17,22,1,1
2544,2003-04,-17,24,0,1
2544,2003-04,-17,25,0,1
2544,2003-04,-17,39,0,1
2544,2003-04,-16,2,0,1
2544,2003-04,-16,4,0,1
2544,2003-04,-16,5,2,7
2544,2003-04,-16,6,0,1
2544,2003-04,-16,7,1,1
2544,2003-04,-16,8,1,2
2544,2003-04,-16,10,0,1
2544,2003-04,-16,12,0,1
2544,2003-04,-16,14,1,2
2544,2003-04,-16,15,0,1
2544,2003-04,-16,17,0,1
2544,2003-04,-16,18,0,4
2544,2003-04,-16,19,1,2
2544,2003-04,-16,20,1,1
2544,2003-04,-16,23,0,1
2544,2003-04,-15,5,1,6
2544,2003-04,-15,6,0,2
2544,2003-04,-15,7,0,1
2544,2003-04,-15,9,1,2
2544,2003-04,-15,15,1,3
2544,2003-04,-15,16,0,1
2544,2003-04,-15,20,1,1
2544,2003-04,-15,21,1,1
2544,2003-04,-15,23,0,2
2544,2003-04,-15,24,2,4
2544,2003-04,-15,25,0,2
2544,2003-04,-15,44,0,1
2544,2003-04,-14,3,1,2
2544,2003-04,-14,4,1,1
2544,2003-04,-14,5,1,3
2544,2003-04,-14,6,1,1
2544,2003-04,-14,7,0,1
2544,2003-04,-14,8,1,1
2544,2003-04,-14,9,2,5
2544,2003-04,-14,10,1,1
2544,2003-04,-14,12,0,2
2544,2003-04,-14,13,1,2
2544,2003-04,-14,15,0,1
2544,2003-04,-14,16,0,1
2544,2003-04,-14,19,1,2
2544,2003-04,-14,20,0,1
2544,2003-04,-14,21,2,2
2544,2003-04,-14,24,1,1
2544,2003-04,-14,25,0,3
2544,2003-04,-14,26,0,2
2544,2003-04,-14,27,0,1
2544,2003-04,-13,2,0,1
2544,2003-04,-13,3,0,1
2544,2003-04,-13,5,2,6
2544,2003-04,-13,7,1,2
2544,2003-04,-13,8,1,3
2544,2003-04,-13,10,0,3
2544,2003-04,-13,11,0,1
2544,2003-04,-13,13,1,1
2544,2003-04,-13,15,1,1
2544,2003-04,-13,16,2,2
2544,2003-04,-13,17,2,2
2544,2003-04,-13,18,0,1
2544,2003-04,-13,21,0,1
2544,2003-04,-13,22,1,2
2544,2003-04,-13,24,1,1
2544,2003-04,-13,25,1,1
2544,2003-04,-13,26,1,1
2544,2003-04,-12,3,1,2
2544,2003-04,-12,4,1,2
2544,2003-04,-12,5,2,3
2544,2003-04,-12,6,0,1
2544,2003-04,-12,8,0,2
2544,2003-04,-12,9,0,1
2544,2003-04,-12,10,2,3
2544,2003-04,-12,11,0,1
2544,2003-04,-12,16,0,1
2544,2003-04,-12,17,2,2
2544,2003-04,-12,20,0,2
2544,2003-04,-12,23,0,1
2544,2003-04,-12,26,0,1
2544,2003-04,-11,4,0,1
2544,2003-04,-11,5,0,2
2544,2003-04,-11,6,1,2
2544,2003-04,-11,7,1,2
2544,2003-04,-11,8,2,3
2544,2003-04,-11,10,0,1
2544,2003-04,-11,11,0,1
2544,2003-04,-11,14,0,1
2544,2003-04,-11,15,1,1
2544,2003-04,-11,18,2,2
2544,2003-04,-11,20,0,1
2544,2003-04,-11,21,1,2
2544,2003-04,-11,27,0,1
2544,2003-04,-11,29,0,1
2544,2003-04,-10,5,0,1
2544,2003-04,-10,6,0,1
2544,2003-04,-10,8,0,1
2544,2003-04,-10,10,1,1
2544,2003-04,-10,14,0,2
2544,2003-04,-10,15,1,2
2544,2003-04,-10,17,0,1
2544,2003-04,-10,19,1,1
2544,2003-04,-10,23,0,3
2544,2003-04,-10,24,1,1
2544,2003-04,-10,26,1,1
2544,2003-04,-10,27,0,1
2544,2003-04,-10,28,0,1
2544,2003-04,-10,36,0,1
2544,2003-04,-9,4,0,1
2544,2003-04,-9,5,1,2
2544,2003-04,-9,6,2,4
2544,2003-04,-9,7,0,1
2544,2003-04,-9,8,0,1
2544,2003-04,-9,10,0,1
2544,2003-04,-9,14,0,1
2544,2003-04,-9,17,0,1
2544,2003-04,-9,18,0,1
2544,2003-04,-9,24,1,1
2544,2003-04,-9,29,0,1
2544,2003-04,-8,5,1,1
2544,2003-04,-8,6,2,2
2544,2003-04,-8,7,3,3
2544,2003-04,-8,8,0,3
